 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +2.9000000000000000E+01	  +7.1075668410809129E+01	
  +2.9250000000000000E+01	  +7.1209683303479750E+01	
  +2.9500000000000000E+01	  +7.3053150833314575E+01	
  +2.9750000000000000E+01	  +7.3222622796232756E+01	
  +3.0000000000000000E+01	  +7.0991082118488009E+01	
  +3.0250000000000000E+01	  +7.4005653888643181E+01	
  +3.0500000000000000E+01	  +7.9302471681457988E+01	
  +3.0750000000000000E+01	  +7.9410334559223017E+01	
  +3.1000000000000000E+01	  +7.7960409906741504E+01	
  +3.1250000000000000E+01	  +7.6533581148286032E+01	
  +3.1500000000000000E+01	  +7.6701120237763675E+01	
  +3.1750000000000000E+01	  +7.6791155077249570E+01	
  +3.2000000000000000E+01	  +7.5596112199718021E+01	
  +3.2250000000000000E+01	  +7.4443756017057510E+01	
  +3.2500000000000000E+01	  +7.4659855233988480E+01	
  +3.2750000000000000E+01	  +7.4824958786814548E+01	
  +3.3000000000000000E+01	  +7.4707353228735357E+01	
  +3.3250000000000000E+01	  +7.3541641101806349E+01	
  +3.3500000000000000E+01	  +7.2114836600948124E+01	
  +3.3750000000000000E+01	  +7.0896153847594661E+01	
  +3.4000000000000000E+01	  +6.7788437741691823E+01	
  +3.4250000000000000E+01	  +6.5062771732074808E+01	
  +3.4500000000000000E+01	  +6.3369648577309597E+01	
  +3.4750000000000000E+01	  +6.1742648361776595E+01	
  +3.5000000000000000E+01	  +6.0101196608161899E+01	
  +3.5250000000000000E+01	  +5.8447858667413286E+01	
  +3.5500000000000000E+01	  +5.8073289604692555E+01	
  +3.5750000000000000E+01	  +5.8185572731223822E+01	
  +3.6000000000000000E+01	  +5.6904731367440469E+01	
  +3.6250000000000000E+01	  +5.4762858089873006E+01	
  +3.6500000000000000E+01	  +5.4080322352624975E+01	
  +3.6750000000000000E+01	  +5.4007646080251739E+01	
  +3.7000000000000000E+01	  +5.2745713459288027E+01	
  +3.7250000000000000E+01	  +5.1594125577597985E+01	
  +3.7500000000000000E+01	  +5.1460240297488781E+01	
