 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +3.0500000000000000E+01	  +5.6968246639829282E+01	
  +3.0750000000000000E+01	  +5.7071989687235359E+01	
  +3.1000000000000000E+01	  +5.5798897864114501E+01	
  +3.1250000000000000E+01	  +5.4548252907048294E+01	
  +3.1500000000000000E+01	  +5.4709640708439707E+01	
  +3.1750000000000000E+01	  +5.4792507726303604E+01	
  +3.2000000000000000E+01	  +5.3695457711116084E+01	
  +3.2250000000000000E+01	  +5.2639645654367605E+01	
  +3.2500000000000000E+01	  +5.2843903155958998E+01	
  +3.2750000000000000E+01	  +5.3000480997088452E+01	
  +3.3000000000000000E+01	  +5.2948515807227643E+01	
  +3.3250000000000000E+01	  +5.1681611668247392E+01	
  +3.3500000000000000E+01	  +4.9844550923272813E+01	
  +3.3750000000000000E+01	  +4.8393059805524771E+01	
  +3.4000000000000000E+01	  +4.5623827061071964E+01	
  +3.4250000000000000E+01	  +4.3095231390015776E+01	
  +3.4500000000000000E+01	  +4.1612985536212250E+01	
  +3.4750000000000000E+01	  +4.0324432322786883E+01	
  +3.5000000000000000E+01	  +3.8851793459407425E+01	
  +3.5250000000000000E+01	  +3.7197065850413821E+01	
  +3.5500000000000000E+01	  +3.6480961702831699E+01	
  +3.5750000000000000E+01	  +3.6259598745623997E+01	
  +3.6000000000000000E+01	  +3.5276453336696456E+01	
  +3.6250000000000000E+01	  +3.3790502132922839E+01	
  +3.6500000000000000E+01	  +3.3235896027757875E+01	
  +3.6750000000000000E+01	  +3.3279588918196879E+01	
  +3.7000000000000000E+01	  +3.2471595579173226E+01	
  +3.7250000000000000E+01	  +3.1602772759635208E+01	
  +3.7500000000000000E+01	  +3.1483925018512210E+01	
  +3.7750000000000000E+01	  +3.1426224973619522E+01	
  +3.8000000000000000E+01	  +3.0913293205979897E+01	
  +3.8250000000000000E+01	  +3.0501993688992087E+01	
  +3.8500000000000000E+01	  +3.0707266919539908E+01	
  +3.8750000000000000E+01	  +3.0960605614657297E+01	
  +3.9000000000000000E+01	  +3.0858231393166083E+01	
  +3.9250000000000000E+01	  +3.2154100910281798E+01	
  +3.9500000000000000E+01	  +3.3938909063733078E+01	
  +3.9750000000000000E+01	  +3.4550632749831202E+01	
  +4.0000000000000000E+01	  +3.5369087158357644E+01	
  +4.0250000000000000E+01	  +3.6503785796445186E+01	
  +4.0500000000000000E+01	  +3.7793560947483918E+01	
  +4.0750000000000000E+01	  +3.9102445080739272E+01	
  +4.1000000000000000E+01	  +4.0471866155558970E+01	
  +4.1250000000000000E+01	  +4.1283776575763106E+01	
  +4.1500000000000000E+01	  +4.1606760340231595E+01	
  +4.1750000000000000E+01	  +4.1946677217142955E+01	
  +4.2000000000000000E+01	  +4.3024721160609438E+01	
  +4.2250000000000000E+01	  +4.4109414850956924E+01	
  +4.2500000000000000E+01	  +4.4475636667678167E+01	
  +4.2750000000000000E+01	  +4.4774136133811830E+01	
  +4.3000000000000000E+01	  +2.6938589864461086E+01	
  +4.3250000000000000E+01	  +8.8983517645465842E+00	
  +4.3500000000000000E+01	  +8.8129680853152372E+00	
  +4.3750000000000000E+01	  +8.8215062803997792E+00	
