  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +2.7500000000000000E+01,  +1.3182969522071328E+01,  +8.6246718246626930E-01,
  +2.7750000000000000E+01,  +1.3230575214051603E+01,  +8.6558168159052529E-01,
  +2.8000000000000000E+01,  +1.3473195977487586E+01,  +8.8145461870822939E-01,
  +2.8250000000000000E+01,  +5.7894948105060593E+01,  +3.7876513851908697E+00,
  +2.8500000000000000E+01,  +1.0292394623853022E+02,  +6.7335759042783163E+00,
  +2.8750000000000000E+01,  +1.0378025550514741E+02,  +6.7895980804096201E+00,
  +2.9000000000000000E+01,  +1.0102699305500911E+02,  +6.6094718574076374E+00,
  +2.9250000000000000E+01,  +1.0091812338973315E+02,  +6.6023492957336991E+00,
  +2.9500000000000000E+01,  +1.0378404253640056E+02,  +6.7898458387139495E+00,
  +2.9750000000000000E+01,  +1.0396472921945036E+02,  +6.8016668729792746E+00,
  +3.0000000000000000E+01,  +9.9986644354243253E+01,  +6.5414093005436671E+00,
  +3.0250000000000000E+01,  +1.0749398460232989E+02,  +7.0325607502032099E+00,
  +3.0500000000000000E+01,  +1.1901153908411432E+02,  +7.7860717665319195E+00,
  +3.0750000000000000E+01,  +1.1914387832649427E+02,  +7.7947297743740878E+00,
  +3.1000000000000000E+01,  +1.1649367897795491E+02,  +7.6213462312139617E+00,
  +3.1250000000000000E+01,  +1.1388488758153505E+02,  +7.4506717134927856E+00,
  +3.1500000000000000E+01,  +1.1409757055231067E+02,  +7.4645860354713278E+00,
  +3.1750000000000000E+01,  +1.1423559031116568E+02,  +7.4736156787808303E+00,
  +3.2000000000000000E+01,  +1.1217850758890188E+02,  +7.3390355042154152E+00,
  +3.2250000000000000E+01,  +1.1026243315051559E+02,  +7.2136804907259346E+00,
  +3.2500000000000000E+01,  +1.1082478542233841E+02,  +7.2504711681693221E+00,
  +3.2750000000000000E+01,  +1.1126036462991263E+02,  +7.2789679928997799E+00,
  +3.3000000000000000E+01,  +1.1177829390313477E+02,  +7.3128523920288853E+00,
  +3.3250000000000000E+01,  +1.1004801309130491E+02,  +7.1996525235048878E+00,
  +3.3500000000000000E+01,  +1.0722714594028406E+02,  +7.0151034096061284E+00,
  +3.3750000000000000E+01,  +1.0504393279287123E+02,  +6.8722714255967627E+00,
  +3.4000000000000000E+01,  +9.9230521448315557E+01,  +6.4919415997208851E+00,
  +3.4250000000000000E+01,  +9.4354765982230589E+01,  +6.1729558755873075E+00,
  +3.4500000000000000E+01,  +9.1356629437556549E+01,  +5.9768092961686898E+00,
  +3.4750000000000000E+01,  +8.8174727829813008E+01,  +5.7686402861500525E+00,
