 TIME                                   	Q_Abwaerme                              	Strom_WP_AB                             	
 HOURS              	NAV                 	NAV                 	
  +3.2750000000000000E+01	  +2.5000000000000000E+00	  +9.3496763075380540E-01	
  +3.3000000000000000E+01	  +2.5000000000000000E+00	  +9.2768801703279746E-01	
  +3.3250000000000000E+01	  +2.5000000000000000E+00	  +9.1907245957552275E-01	
  +3.3500000000000000E+01	  +2.5000000000000000E+00	  +9.1046851087405800E-01	
  +3.3750000000000000E+01	  +2.5000000000000000E+00	  +8.9999563363854151E-01	
  +3.4000000000000000E+01	  +2.5000000000000000E+00	  +8.8578989479137005E-01	
  +3.4250000000000000E+01	  +2.5000000000000000E+00	  +8.6974766683033566E-01	
  +3.4500000000000000E+01	  +2.5000000000000000E+00	  +8.5374283545838603E-01	
  +3.4750000000000000E+01	  +2.5000000000000000E+00	  +8.4203526362015724E-01	
  +3.5000000000000000E+01	  +2.5000000000000000E+00	  +8.3884563651910071E-01	
  +3.5250000000000000E+01	  +2.5000000000000000E+00	  +8.3990925346528078E-01	
  +3.5500000000000000E+01	  +2.5000000000000000E+00	  +8.4097302689592612E-01	
  +3.5750000000000000E+01	  +2.5000000000000000E+00	  +8.3990897057436842E-01	
  +3.6000000000000000E+01	  +2.5000000000000000E+00	  +8.3459101948154657E-01	
  +3.6250000000000000E+01	  +2.5000000000000000E+00	  +8.2715435500559542E-01	
  +3.6500000000000000E+01	  +2.5000000000000000E+00	  +8.1972514614564451E-01	
  +3.6750000000000000E+01	  +2.5000000000000000E+00	  +8.1601507632342940E-01	
  +3.7000000000000000E+01	  +2.5000000000000000E+00	  +8.1972514614564451E-01	
  +3.7250000000000000E+01	  +2.5000000000000000E+00	  +8.2715435500559542E-01	
  +3.7500000000000000E+01	  +2.5000000000000000E+00	  +8.3459101948154657E-01	
  +3.7750000000000000E+01	  +2.5000000000000000E+00	  +8.4309822520568167E-01	
  +3.8000000000000000E+01	  +2.5000000000000000E+00	  +8.5374646036940549E-01	
  +3.8250000000000000E+01	  +2.5000000000000000E+00	  +8.6547968450635449E-01	
  +3.8500000000000000E+01	  +2.5000000000000000E+00	  +8.7723285605483037E-01	
  +3.8750000000000000E+01	  +2.5000000000000000E+00	  +8.8954130841768297E-01	
  +3.9000000000000000E+01	  +2.5000000000000000E+00	  +9.0294596392121707E-01	
  +3.9250000000000000E+01	  +2.5000000000000000E+00	  +9.1691695037580689E-01	
  +3.9500000000000000E+01	  +2.5000000000000000E+00	  +9.3091848109379272E-01	
  +3.9750000000000000E+01	  +2.5000000000000000E+00	  +9.4333267745755922E-01	
  +4.0000000000000000E+01	  +2.5000000000000000E+00	  +9.5252434882893100E-01	
