  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Strom_WP_Winter                         ,Strom_el_nacherhitzung_SpS              ,sum_PV_Bestand                          ,COP_WN                                  ,Q_WP_Winter                             ,Q_WP_Sommer                             ,COP_WP_Winter                           ,COP_WP_Sommer                           ,Anteil_TWW_WP_W                         ,Q_TWW_SpS_EL                            ,Strom_WP_Sommer                         ,
  +5.7500000000000000E+00,  +2.5734154617459886E+01,  +2.3961604617459887E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.2964355433694434E+00,  +5.5026280519700258E+01,  +0.0000000000000000E+00,  +2.2964355433694434E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.0000000000000000E+00,  +2.5977150723894390E+01,  +2.4144575723894391E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3015369310614742E+00,  +5.5569632713353272E+01,  +0.0000000000000000E+00,  +2.3015369310614742E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.2500000000000000E+00,  +2.6167516392352290E+01,  +2.4211966392352291E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3080271313018099E+00,  +5.5881875335716693E+01,  +0.0000000000000000E+00,  +2.3080271313018099E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.5000000000000000E+00,  +2.5984483683746010E+01,  +2.3850408683746011E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3145706534580204E+00,  +5.5203456012378851E+01,  +0.0000000000000000E+00,  +2.3145706534580204E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +6.7500000000000000E+00,  +2.5853242317672013E+01,  +2.3507429401005346E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3186867461233702E+00,  +5.4506364987541929E+01,  +0.0000000000000000E+00,  +2.3186867461233702E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.0000000000000000E+00,  +2.6279421943927886E+01,  +2.3731749860594551E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3178618322740854E+00,  +5.5006917214947954E+01,  +0.0000000000000000E+00,  +2.3178618322740854E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.2500000000000000E+00,  +2.7368813621709094E+01,  +2.4611674038375760E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3145698608054257E+00,  +5.6965438953191892E+01,  +0.0000000000000000E+00,  +2.3145698608054257E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.5000000000000000E+00,  +2.8151825387185987E+01,  +2.5146944970519321E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3112913962956396E+00,  +5.8121917553481218E+01,  +0.0000000000000000E+00,  +2.3112913962956396E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +7.7500000000000000E+00,  +2.8411985965652462E+01,  +2.5132410965652461E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3112913962956396E+00,  +5.8088325233078720E+01,  +0.0000000000000000E+00,  +2.3112913962956396E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.0000000000000000E+00,  +2.8763051000067541E+01,  +2.5167151000067541E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3178639613462613E+00,  +5.8334032312816070E+01,  +0.0000000000000000E+00,  +2.3178639613462613E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.2500000000000000E+00,  +2.9127114154441401E+01,  +2.5171789154441402E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3278218644353390E+00,  +5.8595441160665032E+01,  +0.0000000000000000E+00,  +2.3278218644353390E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.5000000000000000E+00,  +2.9333083863827461E+01,  +2.4983808863827463E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.3379046069214753E+00,  +5.8409761841187816E+01,  +0.0000000000000000E+00,  +2.3379046069214753E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +8.7500000000000000E+00,  +2.9554406786763515E+01,  +2.4805981786763518E+01,  +0.0000000000000000E+00,  +1.7784086050303311E-02,  +2.3475435718933002E+00,  +5.8233123088018978E+01,  +0.0000000000000000E+00,  +2.3475435718933002E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.0000000000000000E+00,  +3.0991070180362271E+01,  +2.5871020180362272E+01,  +0.0000000000000000E+00,  +1.3131274458229841E-01,  +2.3561446204405962E+00,  +6.0955865023270675E+01,  +0.0000000000000000E+00,  +2.3561446204405962E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.2500000000000000E+00,  +3.1924945009936199E+01,  +2.6483570009936198E+01,  +0.0000000000000000E+00,  +5.5034383311286617E-01,  +2.3642554132779532E+00,  +6.2613923758917309E+01,  +0.0000000000000000E+00,  +2.3642554132779532E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.5000000000000000E+00,  +3.1681983093512052E+01,  +2.5968208093512054E+01,  +0.0000000000000000E+00,  +8.1723033749474372E-01,  +2.3724473752167778E+00,  +6.1608207130535760E+01,  +0.0000000000000000E+00,  +2.3724473752167778E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +9.7500000000000000E+00,  +3.1951879365607240E+01,  +2.5986279365607238E+01,  +0.0000000000000000E+00,  +1.0737625860821134E+00,  +2.3807218202216092E+00,  +6.1866102312075704E+01,  +0.0000000000000000E+00,  +2.3807218202216092E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+01,  +3.2090364973846199E+01,  +2.5856714973846199E+01,  +0.0000000000000000E+00,  +1.3167516028760220E+00,  +2.3890800919959454E+00,  +6.1773762988429418E+01,  +0.0000000000000000E+00,  +2.3890800919959454E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0250000000000000E+01,  +3.2041639866950852E+01,  +2.5492239866950850E+01,  +0.0000000000000000E+00,  +2.2180970368066690E+00,  +2.3975235648538038E+00,  +6.1118245801920260E+01,  +0.0000000000000000E+00,  +2.3975235648538038E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0500000000000000E+01,  +3.1978486843354723E+01,  +2.5056486843354723E+01,  +0.0000000000000000E+00,  +2.5178106986996678E+00,  +2.4060536446228222E+00,  +6.0287251490897425E+01,  +0.0000000000000000E+00,  +2.4060536446228222E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.0750000000000000E+01,  +3.1969706069616279E+01,  +2.4631006069616276E+01,  +0.0000000000000000E+00,  +2.7893482306995483E+00,  +2.4156012713281201E+00,  +5.9498689575855721E+01,  +0.0000000000000000E+00,  +2.4156012713281201E+00,  +2.7984600000000004E+00,  +1.0000000000000000E+00,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
