 TIME                                   	Erdreichtemepratur_100m                 	Erdreichtemperatur_3m                   	Flusswassertemperatur                   	Erdreichtemepratur_15m                  	Aussentemp                              	
  +2.1500000000000000E+01	  +1.0000000000000000E+01	  +1.0091613288601977E+01	  +5.9779017857142858E+00	  +9.9822822268770732E+00	  +1.3750000000000000E+00	
  +2.1750000000000000E+01	  +1.0000000000000000E+01	  +1.0091323037465493E+01	  +5.9786458333333332E+00	  +9.9822827102308871E+00	  +1.3624999999999998E+00	
  +2.2000000000000000E+01	  +1.0000000000000000E+01	  +1.0091032783392631E+01	  +5.9793898809523807E+00	  +9.9822831941543804E+00	  +1.2875000000000001E+00	
  +2.2250000000000000E+01	  +1.0000000000000000E+01	  +1.0090742526392724E+01	  +5.9801339285714290E+00	  +9.9822836786475335E+00	  +1.2124999999999999E+00	
  +2.2500000000000000E+01	  +1.0000000000000000E+01	  +1.0090452266475106E+01	  +5.9808779761904765E+00	  +9.9822841637103323E+00	  +1.1375000000000002E+00	
  +2.2750000000000000E+01	  +1.0000000000000000E+01	  +1.0090162003649109E+01	  +5.9816220238095239E+00	  +9.9822846493427626E+00	  +1.0750000000000002E+00	
  +2.3000000000000000E+01	  +1.0000000000000000E+01	  +1.0089871737924065E+01	  +5.9823660714285714E+00	  +9.9822851355448083E+00	  +1.0249999999999999E+00	
  +2.3250000000000000E+01	  +1.0000000000000000E+01	  +1.0089581469309309E+01	  +5.9831101190476197E+00	  +9.9822856223164518E+00	  +9.7500000000000009E-01	
  +2.3500000000000000E+01	  +1.0000000000000000E+01	  +1.0089291197814175E+01	  +5.9838541666666671E+00	  +9.9822861096576805E+00	  +9.2500000000000004E-01	
  +2.3750000000000000E+01	  +1.0000000000000000E+01	  +1.0089000923447992E+01	  +5.9845982142857146E+00	  +9.9822865975684767E+00	  +8.6250000000000004E-01	
  +2.4000000000000000E+01	  +1.0000000000000000E+01	  +1.0088710646220097E+01	  +5.9853422619047620E+00	  +9.9822870860488244E+00	  +7.8749999999999998E-01	
  +2.4250000000000000E+01	  +1.0000000000000000E+01	  +1.0088420366139824E+01	  +5.9860863095238095E+00	  +9.9822875750987077E+00	  +7.1250000000000002E-01	
  +2.4500000000000000E+01	  +1.0000000000000000E+01	  +1.0088130083216504E+01	  +5.9868303571428569E+00	  +9.9822880647181140E+00	  +6.3749999999999996E-01	
  +2.4750000000000000E+01	  +1.0000000000000000E+01	  +1.0087839797459472E+01	  +5.9875744047619044E+00	  +9.9822885549070239E+00	  +5.8749999999999991E-01	
  +2.5000000000000000E+01	  +1.0000000000000000E+01	  +1.0087549508878062E+01	  +5.9883184523809527E+00	  +9.9822890456654232E+00	  +5.6250000000000000E-01	
  +2.5250000000000000E+01	  +1.0000000000000000E+01	  +1.0087259217481607E+01	  +5.9890625000000002E+00	  +9.9822895369932958E+00	  +5.3750000000000009E-01	
  +2.5500000000000000E+01	  +1.0000000000000000E+01	  +1.0086968923279441E+01	  +5.9898065476190476E+00	  +9.9822900288906276E+00	  +5.1249999999999996E-01	
  +2.5750000000000000E+01	  +1.0000000000000000E+01	  +1.0086678626280900E+01	  +5.9905505952380951E+00	  +9.9822905213573989E+00	  +5.0000000000000000E-01	
  +2.6000000000000000E+01	  +1.0000000000000000E+01	  +1.0086388326495316E+01	  +5.9912946428571434E+00	  +9.9822910143935975E+00	  +5.0000000000000000E-01	
  +2.6250000000000000E+01	  +1.0000000000000000E+01	  +1.0086098023932024E+01	  +5.9920386904761909E+00	  +9.9822915079992072E+00	  +5.0000000000000000E-01	
  +2.6500000000000000E+01	  +1.0000000000000000E+01	  +1.0085807718600359E+01	  +5.9927827380952383E+00	  +9.9822920021742085E+00	  +5.0000000000000000E-01	
  +2.6750000000000000E+01	  +1.0000000000000000E+01	  +1.0085517410509654E+01	  +5.9935267857142858E+00	  +9.9822924969185909E+00	  +4.5000000000000001E-01	
