  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +2.4500000000000000E+01,  +2.2170346312607887E+01,  +2.2170346312607887E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.4750000000000000E+01,  +2.1911299169471420E+01,  +2.1911299169471420E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5000000000000000E+01,  +2.1914558959741740E+01,  +2.1914558959741740E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5250000000000000E+01,  +2.1985063605472096E+01,  +2.1985063605472096E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5500000000000000E+01,  +2.1872606442467273E+01,  +2.1872606442467273E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.5750000000000000E+01,  +2.1862696707697715E+01,  +2.1862696707697715E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6000000000000000E+01,  +2.2211664920964807E+01,  +2.2211664920964807E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6250000000000000E+01,  +2.2553879278981871E+01,  +2.2553879278981871E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6500000000000000E+01,  +2.2707583405113429E+01,  +2.2707583405113429E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.6750000000000000E+01,  +2.2689248123047282E+01,  +2.2689248123047282E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7000000000000000E+01,  +2.2886935841679989E+01,  +2.2886935841679989E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7250000000000000E+01,  +2.3120962369629773E+01,  +2.3120962369629773E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7500000000000000E+01,  +2.3144915964000685E+01,  +2.3144915964000685E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.7750000000000000E+01,  +2.3164673865951681E+01,  +2.3164673865951681E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8000000000000000E+01,  +2.3421475275479192E+01,  +2.3421475275479192E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8250000000000000E+01,  +4.5492462936475874E+01,  +4.5492462936475874E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8500000000000000E+01,  +6.8918536167350311E+01,  +6.8918536167350311E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.8750000000000000E+01,  +6.9474590788802516E+01,  +6.9474590788802516E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9000000000000000E+01,  +6.8105502446240720E+01,  +6.8105502446240720E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9250000000000000E+01,  +6.8364685009373005E+01,  +6.8364685009373005E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9500000000000000E+01,  +7.0150833701917051E+01,  +7.0150833701917051E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.9750000000000000E+01,  +7.0493958344506126E+01,  +7.0493958344506126E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0000000000000000E+01,  +6.8772138556708796E+01,  +6.8772138556708796E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0250000000000000E+01,  +7.2200923049233268E+01,  +7.2200923049233268E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0500000000000000E+01,  +7.7744494180633083E+01,  +7.7744494180633083E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.0750000000000000E+01,  +7.8394635961360237E+01,  +7.8394635961360237E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1000000000000000E+01,  +7.7852688934604288E+01,  +7.7852688934604288E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1250000000000000E+01,  +7.7367111395339080E+01,  +7.7367111395339080E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1500000000000000E+01,  +7.8355440674640988E+01,  +7.8355440674640988E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.1750000000000000E+01,  +7.8935075597227950E+01,  +7.8935075597227950E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2000000000000000E+01,  +7.7821774848881532E+01,  +7.7821774848881532E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2250000000000000E+01,  +7.6811037786541903E+01,  +7.6811037786541903E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2500000000000000E+01,  +7.7318810043250565E+01,  +7.7318810043250565E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +3.2750000000000000E+01,  +7.7652620314381679E+01,  +7.7571329394797814E+01,  +8.1290919583867416E-02,  +0.0000000000000000E+00,
  +3.3000000000000000E+01,  +7.7586972096681109E+01,  +7.7002699592549703E+01,  +5.8427250413140852E-01,  +0.0000000000000000E+00,
  +3.3250000000000000E+01,  +7.6474481069951082E+01,  +7.4654891004564618E+01,  +1.8195900653864667E+00,  +0.0000000000000000E+00,
  +3.3500000000000000E+01,  +7.5093329094122055E+01,  +7.2604065021279226E+01,  +2.4892640728428290E+00,  +0.0000000000000000E+00,
  +3.3750000000000000E+01,  +7.3773069485964385E+01,  +7.0660896400983574E+01,  +3.1121730849808174E+00,  +0.0000000000000000E+00,
  +3.4000000000000000E+01,  +7.0481513457332824E+01,  +6.6698671869591294E+01,  +3.7828415877415367E+00,  +0.0000000000000000E+00,
  +3.4250000000000000E+01,  +6.7683579527618406E+01,  +6.3841253773901514E+01,  +3.8423257537168887E+00,  +0.0000000000000000E+00,
  +3.4500000000000000E+01,  +6.5986005211861553E+01,  +6.1627009913264949E+01,  +4.3589952985966036E+00,  +0.0000000000000000E+00,
  +3.4750000000000000E+01,  +6.4664653924741614E+01,  +5.9837823065363253E+01,  +4.8268308593783633E+00,  +0.0000000000000000E+00,
  +3.5000000000000000E+01,  +6.3834917213246911E+01,  +5.8593706758317254E+01,  +5.2412104549296590E+00,  +0.0000000000000000E+00,
  +3.5250000000000000E+01,  +6.3022158308038044E+01,  +5.6173663056172543E+01,  +6.8484952518654971E+00,  +0.0000000000000000E+00,
  +3.5500000000000000E+01,  +6.3195767661757728E+01,  +5.5972327459150137E+01,  +7.2234402026075921E+00,  +0.0000000000000000E+00,
  +3.5750000000000000E+01,  +6.3550742950998725E+01,  +5.6013992148837019E+01,  +7.5367508021617091E+00,  +0.0000000000000000E+00,
  +3.6000000000000000E+01,  +6.2263979079159405E+01,  +5.4476778277393770E+01,  +7.7872008017656356E+00,  +0.0000000000000000E+00,
  +3.6250000000000000E+01,  +6.0043537736433429E+01,  +5.0652173340413903E+01,  +9.3913643960195259E+00,  +0.0000000000000000E+00,
  +3.6500000000000000E+01,  +5.9121032103805426E+01,  +4.9607132586857205E+01,  +9.5138995169482250E+00,  +0.0000000000000000E+00,
  +3.6750000000000000E+01,  +5.8897888759611384E+01,  +4.9357670774626257E+01,  +9.5402179849851265E+00,  +0.0000000000000000E+00,
  +3.7000000000000000E+01,  +5.7922006931193884E+01,  +4.8451796349674346E+01,  +9.4702105815195381E+00,  +0.0000000000000000E+00,
  +3.7250000000000000E+01,  +5.7100594767303463E+01,  +4.7952642663263916E+01,  +9.1479521040395504E+00,  +0.0000000000000000E+00,
  +3.7500000000000000E+01,  +5.7113263736537846E+01,  +4.8208657666731604E+01,  +8.9046060698062419E+00,  +0.0000000000000000E+00,
  +3.7750000000000000E+01,  +5.7204124229590704E+01,  +4.8617746993354118E+01,  +8.5863772362365829E+00,  +0.0000000000000000E+00,
